mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.328,0.988,0.065,0.017,0.034,0.01,0.126,61.284,0.0
8.466,0.988,0.045,0.016,0.037,0.01,0.109,61.153,0.0
8.144,0.988,0.055,0.019,0.037,0.011,0.123,59.988,0.0
8.22,0.988,0.057,0.016,0.037,0.01,0.12,60.501,0.0
8.236,0.99,0.055,0.019,0.033,0.01,0.116,60.804,0.0
8.762,0.988,0.056,0.017,0.039,0.01,0.122,60.297,0.0
8.833,0.989,0.054,0.016,0.032,0.009,0.111,51.557,0.0
8.373,0.987,0.057,0.017,0.044,0.012,0.131,50.826,0.0
8.286,0.99,0.05,0.016,0.031,0.01,0.107,50.99,0.0
8.801,0.989,0.046,0.015,0.033,0.009,0.102,50.725,0.0
8.271,0.989,0.056,0.015,0.03,0.01,0.111,51.077,0.0
8.434,0.99,0.051,0.015,0.034,0.009,0.109,50.944,0.0
8.462,0.99,0.056,0.016,0.03,0.009,0.111,51.297,0.0
8.454,0.986,0.045,0.017,0.045,0.016,0.122,52.529,0.0
8.809,0.989,0.056,0.017,0.034,0.013,0.12,51.351,0.0
8.752,0.99,0.05,0.017,0.031,0.009,0.107,51.224,0.0
8.228,0.99,0.049,0.015,0.031,0.009,0.104,50.435,0.0
8.275,0.989,0.049,0.017,0.034,0.009,0.11,51.773,0.0
8.711,0.991,0.053,0.015,0.028,0.009,0.105,52.026,0.0
9.241,0.99,0.06,0.017,0.034,0.009,0.12,54.385,0.0
8.774,0.991,0.049,0.015,0.03,0.008,0.102,60.656,0.0
8.617,0.991,0.046,0.015,0.029,0.008,0.098,53.691,0.0
8.545,0.991,0.051,0.017,0.029,0.008,0.105,51.251,0.0
7.859,0.991,0.046,0.016,0.03,0.007,0.099,50.18,0.0
8.193,0.991,0.045,0.015,0.029,0.007,0.096,50.741,0.0
7.808,0.989,0.045,0.015,0.033,0.009,0.102,52.96,0.0
7.988,0.99,0.05,0.016,0.031,0.009,0.106,60.934,0.0
8.388,0.991,0.054,0.014,0.03,0.008,0.105,61.019,0.0
8.673,0.99,0.043,0.014,0.033,0.009,0.098,61.336,0.0
8.75,0.992,0.047,0.014,0.024,0.008,0.093,60.775,0.0
8.228,0.99,0.047,0.017,0.03,0.009,0.104,60.472,0.0
8.652,0.991,0.035,0.015,0.03,0.01,0.089,60.415,0.0
8.448,0.991,0.033,0.014,0.027,0.008,0.083,60.747,0.0
8.614,0.989,0.061,0.015,0.034,0.009,0.119,60.091,0.0
9.256,0.992,0.045,0.014,0.024,0.007,0.09,54.546,0.0
9.278,0.99,0.052,0.015,0.032,0.008,0.108,51.815,0.0
8.359,0.991,0.067,0.016,0.027,0.008,0.118,51.407,0.0
8.65,0.992,0.045,0.015,0.025,0.007,0.091,51.551,0.0
8.878,0.991,0.055,0.014,0.026,0.007,0.103,51.143,0.0
8.613,0.991,0.044,0.015,0.026,0.008,0.092,52.073,0.0
8.793,0.993,0.045,0.015,0.022,0.008,0.089,51.894,0.0
8.352,0.994,0.05,0.014,0.021,0.006,0.091,50.978,0.0
8.11,0.993,0.035,0.014,0.023,0.008,0.08,51.94,0.0
8.228,0.991,0.045,0.015,0.031,0.007,0.099,52.149,0.0
8.441,0.992,0.063,0.016,0.026,0.008,0.113,51.781,0.0
8.585,0.992,0.044,0.015,0.026,0.008,0.093,50.963,0.0
8.475,0.993,0.039,0.012,0.022,0.006,0.079,51.67,0.0
8.599,0.993,0.057,0.013,0.022,0.006,0.099,51.523,0.0
8.661,0.991,0.058,0.015,0.027,0.007,0.107,50.862,0.0
8.676,0.991,0.045,0.016,0.028,0.007,0.095,52.461,0.0
8.889,0.993,0.052,0.013,0.022,0.007,0.094,52.314,0.0
8.803,0.993,0.058,0.013,0.021,0.006,0.098,50.857,0.0
9.292,0.994,0.038,0.013,0.019,0.006,0.077,51.996,0.0
7.989,0.993,0.046,0.013,0.021,0.006,0.086,55.83,0.0
8.038,0.992,0.042,0.015,0.025,0.007,0.089,55.508,0.0
7.892,0.993,0.048,0.015,0.022,0.007,0.093,50.743,0.0
8.313,0.994,0.039,0.014,0.021,0.006,0.08,52.178,0.0
8.138,0.993,0.057,0.014,0.025,0.008,0.104,51.061,0.0
7.819,0.991,0.043,0.014,0.027,0.007,0.092,54.405,0.0
7.967,0.991,0.045,0.014,0.027,0.006,0.091,58.577,0.0
7.906,0.995,0.042,0.013,0.017,0.005,0.077,53.309,0.0
7.99,0.994,0.05,0.013,0.018,0.006,0.086,51.991,0.0
7.981,0.992,0.061,0.014,0.024,0.007,0.105,51.919,0.0
8.108,0.992,0.044,0.014,0.024,0.007,0.087,50.836,0.0
8.019,0.993,0.052,0.013,0.021,0.008,0.095,51.529,0.0
7.913,0.993,0.048,0.013,0.023,0.007,0.091,51.719,0.0
8.248,0.992,0.046,0.013,0.024,0.006,0.089,51.123,0.0
8.265,0.993,0.054,0.014,0.021,0.007,0.095,52.391,0.0
7.758,0.994,0.04,0.013,0.02,0.006,0.078,50.504,0.0
7.903,0.994,0.041,0.011,0.018,0.006,0.077,50.055,0.0
8.22,0.994,0.037,0.012,0.019,0.007,0.074,51.556,0.0
8.14,0.992,0.044,0.014,0.024,0.007,0.089,50.732,0.0
8.233,0.994,0.044,0.014,0.02,0.006,0.084,52.538,0.0
8.006,0.993,0.042,0.013,0.023,0.006,0.083,51.329,0.0
7.956,0.995,0.047,0.013,0.015,0.005,0.08,51.742,0.0
8.407,0.994,0.039,0.012,0.017,0.006,0.074,58.419,0.0
8.716,0.992,0.06,0.015,0.022,0.007,0.104,60.394,0.0
8.262,0.994,0.048,0.015,0.022,0.006,0.092,59.66,0.0
8.419,0.994,0.036,0.012,0.018,0.005,0.07,59.433,0.0
8.054,0.996,0.033,0.012,0.013,0.006,0.064,50.857,0.0
8.492,0.994,0.038,0.011,0.017,0.005,0.072,50.812,0.0
8.932,0.992,0.042,0.014,0.023,0.006,0.084,58.833,0.0
8.147,0.993,0.049,0.014,0.023,0.007,0.093,51.769,0.0
8.334,0.994,0.047,0.014,0.018,0.005,0.083,52.969,0.0
8.517,0.994,0.05,0.012,0.019,0.005,0.086,53.409,0.0
8.293,0.995,0.036,0.013,0.016,0.005,0.07,60.064,0.0
8.655,0.994,0.032,0.012,0.016,0.006,0.065,57.935,0.0
8.414,0.994,0.049,0.013,0.019,0.006,0.087,57.001,0.0
8.444,0.994,0.055,0.013,0.02,0.006,0.093,51.44,0.0
8.247,0.995,0.04,0.012,0.019,0.005,0.077,52.457,0.0
7.928,0.995,0.064,0.012,0.014,0.005,0.095,51.432,0.0
7.83,0.994,0.043,0.013,0.018,0.005,0.079,50.76,0.0
7.861,0.994,0.05,0.013,0.018,0.006,0.086,52.0,0.0
7.941,0.994,0.046,0.011,0.021,0.006,0.084,51.109,0.0
8.317,0.994,0.044,0.013,0.02,0.006,0.083,52.149,0.0
8.469,0.994,0.046,0.011,0.019,0.005,0.082,51.996,0.0
7.95,0.994,0.045,0.012,0.019,0.005,0.082,52.689,0.0
7.829,0.995,0.04,0.012,0.015,0.005,0.073,51.282,0.0
7.986,0.995,0.042,0.014,0.015,0.005,0.076,51.588,0.0
8.063,0.994,0.045,0.013,0.022,0.006,0.086,54.431,0.0
7.926,0.994,0.044,0.012,0.019,0.006,0.081,60.898,0.0
8.038,0.993,0.052,0.012,0.023,0.006,0.093,56.027,0.0
8.087,0.994,0.045,0.011,0.02,0.006,0.082,52.357,0.0
8.253,0.995,0.033,0.011,0.015,0.005,0.065,53.78,0.0
8.17,0.995,0.049,0.012,0.015,0.005,0.081,51.659,0.0
8.445,0.995,0.042,0.012,0.016,0.005,0.075,52.648,0.0
8.116,0.995,0.037,0.012,0.015,0.005,0.069,51.842,0.0
8.719,0.995,0.04,0.013,0.017,0.006,0.075,51.75,0.0
8.437,0.995,0.045,0.012,0.016,0.005,0.078,51.401,0.0
8.34,0.995,0.048,0.012,0.016,0.005,0.082,51.529,0.0
8.035,0.995,0.037,0.013,0.017,0.005,0.071,51.254,0.0
8.244,0.996,0.039,0.011,0.014,0.005,0.07,51.642,0.0
8.652,0.995,0.051,0.016,0.019,0.006,0.091,51.649,0.0
8.311,0.995,0.034,0.012,0.015,0.005,0.065,51.776,0.0
8.165,0.996,0.032,0.011,0.013,0.006,0.063,53.3,0.0
8.008,0.996,0.041,0.011,0.015,0.004,0.072,59.085,0.0
7.305,0.995,0.041,0.01,0.016,0.004,0.071,52.046,0.0
7.254,0.993,0.046,0.013,0.02,0.006,0.084,52.272,0.0
7.296,0.992,0.038,0.013,0.024,0.007,0.082,51.959,0.0
7.526,0.995,0.035,0.014,0.014,0.006,0.067,52.685,0.0
7.494,0.995,0.034,0.012,0.015,0.005,0.066,52.133,0.0
7.938,0.995,0.047,0.013,0.016,0.005,0.081,51.59,0.0
7.794,0.996,0.028,0.01,0.012,0.004,0.055,50.837,0.0
8.128,0.995,0.056,0.012,0.017,0.005,0.09,51.418,0.0
7.52,0.995,0.045,0.011,0.017,0.004,0.078,52.401,0.0
8.189,0.996,0.048,0.011,0.014,0.005,0.077,52.597,0.0
7.622,0.996,0.048,0.013,0.015,0.006,0.083,52.168,0.0
8.089,0.995,0.046,0.013,0.015,0.006,0.08,53.653,0.0
7.581,0.994,0.048,0.012,0.02,0.006,0.086,55.273,0.0
7.415,0.996,0.045,0.011,0.014,0.005,0.075,51.227,0.0
7.808,0.996,0.035,0.011,0.011,0.004,0.062,49.825,0.0
8.053,0.995,0.041,0.012,0.016,0.005,0.074,50.408,0.0
7.563,0.995,0.041,0.012,0.017,0.005,0.075,50.992,0.0
7.799,0.995,0.039,0.011,0.014,0.005,0.069,51.891,0.0
7.613,0.994,0.054,0.012,0.02,0.006,0.092,51.628,0.0
7.54,0.996,0.055,0.012,0.014,0.005,0.086,52.14,0.0
7.573,0.996,0.039,0.012,0.012,0.004,0.068,51.284,0.0
7.82,0.994,0.038,0.012,0.019,0.006,0.075,52.338,0.0
7.702,0.996,0.042,0.011,0.013,0.005,0.071,51.636,0.0
7.756,0.996,0.044,0.011,0.013,0.004,0.072,51.571,0.0
7.7,0.996,0.04,0.011,0.011,0.004,0.066,51.56,0.0
7.709,0.995,0.043,0.012,0.016,0.005,0.077,50.76,0.0
7.696,0.995,0.037,0.011,0.015,0.005,0.068,50.886,0.0
7.231,0.996,0.047,0.012,0.012,0.004,0.075,50.165,0.0
7.458,0.996,0.047,0.012,0.012,0.004,0.075,51.679,0.0
7.59,0.994,0.039,0.011,0.017,0.005,0.072,51.737,0.0
7.598,0.994,0.036,0.011,0.018,0.005,0.07,51.369,0.0
7.506,0.995,0.049,0.013,0.018,0.005,0.086,51.545,0.0
8.039,0.996,0.035,0.011,0.012,0.005,0.063,50.637,0.0
8.008,0.997,0.041,0.01,0.012,0.004,0.068,51.849,0.0
7.046,0.996,0.045,0.012,0.013,0.005,0.076,51.068,0.0
7.555,0.995,0.037,0.011,0.017,0.005,0.07,50.731,0.0
7.552,0.996,0.038,0.012,0.014,0.005,0.069,50.743,0.0
7.286,0.996,0.038,0.011,0.014,0.005,0.068,52.071,0.0
7.435,0.995,0.035,0.011,0.017,0.005,0.068,58.293,0.0
7.72,0.995,0.05,0.011,0.017,0.004,0.083,52.403,0.0
7.652,0.996,0.037,0.011,0.014,0.005,0.066,52.616,0.0
7.444,0.996,0.03,0.011,0.013,0.004,0.058,51.342,0.0
7.652,0.997,0.035,0.01,0.01,0.004,0.058,51.86,0.0
8.069,0.994,0.04,0.013,0.019,0.006,0.077,59.222,0.0
7.998,0.995,0.042,0.011,0.016,0.005,0.074,50.828,0.0
7.688,0.996,0.039,0.011,0.012,0.004,0.065,51.512,0.0
7.356,0.995,0.042,0.01,0.015,0.004,0.071,51.307,0.0
7.371,0.996,0.038,0.011,0.012,0.004,0.066,51.145,0.0
7.37,0.996,0.043,0.012,0.013,0.005,0.073,51.167,0.0
7.37,0.997,0.027,0.011,0.01,0.004,0.051,51.443,0.0
7.996,0.995,0.043,0.012,0.018,0.005,0.078,51.779,0.0
7.92,0.997,0.034,0.01,0.011,0.004,0.059,51.262,0.0
7.751,0.996,0.036,0.012,0.015,0.004,0.067,54.587,0.0
8.244,0.996,0.047,0.011,0.013,0.004,0.075,55.733,0.0
7.66,0.996,0.036,0.011,0.012,0.004,0.062,51.305,0.0
7.105,0.994,0.042,0.01,0.017,0.004,0.073,50.423,0.0
7.141,0.997,0.039,0.009,0.009,0.003,0.061,51.502,0.0
7.615,0.996,0.028,0.011,0.013,0.004,0.056,51.513,0.0
8.172,0.996,0.041,0.011,0.012,0.004,0.068,51.297,0.0
7.726,0.996,0.039,0.011,0.011,0.004,0.064,51.26,0.0
7.797,0.996,0.039,0.01,0.012,0.004,0.066,52.075,0.0
8.036,0.996,0.038,0.01,0.014,0.003,0.066,51.751,0.0
7.073,0.996,0.038,0.01,0.012,0.004,0.065,50.947,0.0
7.147,0.997,0.022,0.01,0.008,0.004,0.044,51.758,0.0
7.202,0.997,0.038,0.009,0.008,0.003,0.059,51.226,0.0
7.51,0.996,0.032,0.009,0.014,0.004,0.059,50.907,0.0
7.654,0.995,0.042,0.011,0.016,0.004,0.073,51.805,0.0
7.674,0.996,0.041,0.012,0.014,0.004,0.071,56.991,0.0
7.676,0.996,0.038,0.012,0.012,0.004,0.067,52.257,0.0
7.519,0.996,0.038,0.01,0.013,0.004,0.065,50.491,0.0
7.421,0.997,0.046,0.01,0.009,0.004,0.069,51.306,0.0
7.209,0.997,0.039,0.011,0.01,0.004,0.063,51.636,0.0
7.067,0.996,0.047,0.011,0.012,0.004,0.073,51.824,0.0
7.439,0.996,0.033,0.01,0.012,0.004,0.059,51.384,0.0
7.314,0.997,0.031,0.009,0.01,0.004,0.054,51.623,0.0
7.271,0.996,0.026,0.01,0.014,0.004,0.054,51.598,0.0
7.596,0.997,0.036,0.01,0.009,0.004,0.06,51.408,0.0
7.349,0.997,0.04,0.011,0.011,0.004,0.065,51.576,0.0
7.193,0.995,0.034,0.01,0.017,0.005,0.066,51.749,0.0
7.409,0.996,0.041,0.01,0.012,0.004,0.067,52.273,0.0
7.268,0.996,0.046,0.011,0.013,0.004,0.073,54.76,0.0
7.612,0.995,0.055,0.012,0.015,0.004,0.086,58.498,0.0
7.466,0.995,0.043,0.011,0.015,0.004,0.072,50.767,0.0
7.543,0.997,0.028,0.009,0.01,0.003,0.05,50.302,0.0
7.665,0.996,0.047,0.01,0.012,0.004,0.072,50.829,0.0
7.414,0.996,0.044,0.011,0.013,0.005,0.073,51.642,0.0
7.488,0.997,0.034,0.01,0.01,0.003,0.057,50.862,0.0
7.814,0.997,0.035,0.009,0.012,0.003,0.059,51.135,0.0
7.486,0.998,0.035,0.009,0.007,0.003,0.054,51.21,0.0
7.835,0.996,0.045,0.012,0.013,0.004,0.074,50.968,0.0
7.607,0.995,0.056,0.01,0.016,0.005,0.087,51.021,0.0
7.695,0.996,0.036,0.01,0.013,0.004,0.063,50.677,0.0
7.197,0.997,0.044,0.01,0.008,0.003,0.065,50.886,0.0
7.134,0.995,0.037,0.01,0.014,0.004,0.065,50.349,0.0
7.223,0.997,0.044,0.01,0.01,0.004,0.068,51.169,0.0
7.541,0.997,0.038,0.01,0.011,0.003,0.062,53.882,0.0
7.005,0.996,0.043,0.011,0.012,0.004,0.07,51.373,0.0
6.879,0.997,0.026,0.011,0.011,0.004,0.053,51.476,0.0
7.013,0.997,0.058,0.01,0.01,0.004,0.081,51.26,0.0
7.202,0.996,0.036,0.01,0.014,0.004,0.063,50.95,0.0
7.082,0.996,0.033,0.01,0.014,0.004,0.06,50.914,0.0
7.433,0.996,0.047,0.011,0.013,0.004,0.074,51.405,0.0
6.938,0.998,0.044,0.01,0.008,0.003,0.065,51.594,0.0
6.672,0.997,0.038,0.01,0.009,0.004,0.061,51.78,0.0
7.208,0.996,0.029,0.01,0.012,0.004,0.055,51.798,0.0
7.128,0.997,0.035,0.01,0.009,0.004,0.057,51.447,0.0
6.718,0.996,0.034,0.009,0.015,0.004,0.062,50.279,0.0
6.599,0.997,0.045,0.011,0.01,0.004,0.07,53.132,0.0
6.91,0.997,0.037,0.009,0.008,0.003,0.057,60.196,0.0
6.904,0.998,0.032,0.009,0.008,0.003,0.052,64.067,0.0
6.953,0.994,0.036,0.011,0.018,0.005,0.069,65.056,0.0
7.308,0.997,0.05,0.011,0.009,0.003,0.073,56.436,0.0
7.378,0.997,0.04,0.009,0.009,0.003,0.06,56.519,0.0
7.109,0.997,0.037,0.009,0.009,0.003,0.058,56.698,0.0
7.282,0.997,0.041,0.01,0.009,0.003,0.063,56.762,0.0
7.387,0.996,0.041,0.011,0.018,0.005,0.074,56.187,0.0
7.214,0.997,0.043,0.009,0.01,0.004,0.066,55.106,0.0
7.381,0.998,0.037,0.009,0.008,0.003,0.058,52.181,0.0
7.932,0.997,0.036,0.009,0.011,0.004,0.059,60.971,0.0
7.461,0.995,0.033,0.01,0.015,0.005,0.063,57.815,0.0
7.515,0.996,0.042,0.01,0.012,0.004,0.067,57.491,0.0
7.556,0.998,0.03,0.01,0.007,0.003,0.05,58.914,0.0
7.116,0.996,0.038,0.01,0.013,0.004,0.065,54.67,0.0
7.243,0.998,0.037,0.008,0.007,0.002,0.055,53.078,0.0
7.468,0.996,0.042,0.01,0.014,0.003,0.069,52.872,0.0
7.03,0.998,0.032,0.01,0.006,0.003,0.051,52.234,0.0
7.0,0.996,0.038,0.009,0.011,0.003,0.062,55.579,0.0
7.793,0.996,0.037,0.011,0.015,0.004,0.067,52.743,0.0
7.408,0.996,0.045,0.01,0.015,0.004,0.074,52.415,0.0
7.022,0.998,0.036,0.01,0.009,0.003,0.056,50.8,0.0
7.461,0.996,0.035,0.009,0.011,0.003,0.058,60.918,0.0
6.98,0.997,0.037,0.009,0.009,0.003,0.058,56.027,0.0
7.447,0.996,0.033,0.01,0.013,0.004,0.059,51.884,0.0
7.206,0.998,0.031,0.009,0.009,0.003,0.052,50.742,0.0
6.945,0.997,0.027,0.01,0.01,0.004,0.05,58.486,0.0
